Dept,Actual_Sales,Predicted_Sales,MAE,Error,Absolute_Error
19,1254724.69,1.2202911e+06,280.3766114821385,34433.564999999944,34433.564999999944
52,2062783.04,1.997548e+06,270.6465588389014,65235.04000000004,65235.04000000004
99,36640.1,101658.63,230.8858917587478,-65018.5328125,65018.5328125
27,1453533.98,1.3800961e+06,196.00120323368216,73437.85499999998,73437.85499999998
47,1201.0200000000002,6879.4175,172.6032618138078,-5678.39748046875,5678.39748046875
28,536863.1,468553.1,124.19955805119837,68310.00624999998,68310.00624999998
60,385489.81,312516.53,106.02015361299044,72973.27875,72973.27875
59,219903.88,171380.86,89.13756435136992,48523.020625000005,48523.020625000005
54,28931.29,22026.006,47.86095234449776,6905.284140625001,6905.284140625001
45,4197.61,4705.0786,38.49811734679166,-507.4686132812503,507.4686132812503
78,10.0,77.170334,29.056777954101562,-67.17033386230469,67.17033386230469
51,273.34,1155.6898,24.464220572577585,-882.3498193359376,882.3498193359376
